Title|Location|Time
Cooking with hardware|Grand Ballroom West|11 a.m. - 11:50 a.m.
Statistics: logistic regression|Stadium 2|11 a.m. - 11:50 a.m.
Creating maps: Principles, mistakes and potential|Grand Ballroom East|11 a.m. - 11:50 a.m.
Student brown bag: What do you mean I can’t have that public record?|Salon BC|12:30 p.m. - 1:30 p.m.
Building maps with leaflet and mapbox.js|Stadium 3|2 p.m. - 2:50 p.m.
Social media for investigations|Grand Ballroom West|2 p.m. - 2:50 p.m.
Campaign Finance II: Going beyond the data|Salon DEF|2 p.m. - 2:50 p.m.
Create your own interactive newsgame in 50 minutes!|Stadium 5|2 p.m. - 2:50 p.m.
Mini Boot Camp|See printed schedule for room information|2 p.m. - 3:50 p.m.
The customized Census: Using microdata|Salon A|2 p.m. - 2:50 p.m.
Investigating racial inequality|Salon BC|2 p.m. - 2:50 p.m.
Protecting your work from prying eyes|Grand Ballroom East|2 p.m. - 2:50 p.m.
Intro To SQLite|Stadium 4|2 p.m. - 2:50 p.m.
Building charts and graphs that are connected to live data|Chesapeake|2 p.m. - 2:50 p.m.
DataViz for everyone: A practical guide to going responsive|Grand Ballroom West|3 p.m. - 3:50 p.m.
Grabbing data from websites: tips and tricks|Stadium 5|3 p.m. - 3:50 p.m.
SQLite for command line|Stadium 4|3 p.m. - 3:50 p.m.
How PANDA works: Software architecture for big data|Chesapeake|3 p.m. - 3:50 p.m.
50 ideas in 50 minutes|Salon DEF|3 p.m. - 3:50 p.m.
Weathering the storm: Using data to track nature's fury|Salon BC|3 p.m. - 3:50 p.m.
Using Excel for statistics|Salon A|3 p.m. - 3:50 p.m.
Everyday scripting|Stadium 3|3 p.m. - 3:50 p.m.
100+ tips and tools for news research|Grand Ballroom East|3 p.m. - 3:50 p.m.
Lightning talks (Sponsored by John S. and James L. Knight Foundation)|Grand Ballroom East|4:15 p.m. - 5:30 p.m.
Philip Meyer Award Reception|University Ballroom|5:30 p.m. - 6:45 p.m.
CAR Conference Registration (Saturday)|University Ballroom|8:30 a.m. - 5 p.m.
CAR Conference Sales (Saturday)|University Ballroom|8:30 a.m. - 5 p.m.
Build your first News App (Saturday)|Stadium 3|9 a.m. - 11:50 a.m.
The art and craft of finding people|Grand Ballroom West|9 a.m. - 9:50 a.m.
How to feel like you're hacking without really doing it|Stadium 4|9 a.m. - 9:50 a.m.
Danger! Hazardous materials: Using data to uncover pollution|Salon BC|9 a.m. - 9:50 a.m.
Incorporating data into your beat|Salon DEF|9 a.m. - 9:50 a.m.
My friend FRED: A free tool for searching and graphing business, economic and government data|Salon A|9 a.m. - 9:50 a.m.
Threat modeling: Security for your story|Grand Ballroom East|9 a.m. - 9:50 a.m.
Political framing: Computational analysis of rhetoric in large text datasets|Chesapeake|9 a.m. - 9:50 a.m.
Getting started with SQL|Stadium 2|9 a.m. - 9:50 a.m.
Ruby 1: Introduction|Stadium 5|9 a.m. - 9:50 a.m.
Introduction to mapping: Importing and displaying data geographically with QGIS|Stadium 1|9 a.m. - 9:50 a.m.
How to uncover inequity and swindlers in subsidized housing programs near you|Salon DEF|10 a.m. - 10:50 a.m.
A quick trip through data in the sciences|Grand Ballroom East|10 a.m. - 10:50 a.m.
Building a data journalism course|Salon BC|10 a.m. - 10:50 a.m.
Mapping 2: Manipulating and editing geographic data with QGIS|Stadium 1|10 a.m. - 10:50 a.m.
docHive: Pulling structured data from scanned PDFs|Salon A|10 a.m. - 10:50 a.m.
Counting and summing with SQL|Stadium 2|10 a.m. - 10:50 a.m.
Ruby 2: Acquiring and transforming data|Stadium 5|10 a.m. - 10:50 a.m.
DocumentCloud|Stadium 4|10 a.m. - 10:50 a.m.
An app for that: Mobile tech and tools for reporting|Grand Ballroom West|10 a.m. - 10:50 a.m.
Journalists - Staying safe in a digital world|Chesapeake|10 a.m. - 10:50 a.m.
People and patterns: The network behind the story|Salon DEF|11 a.m. - 11:50 a.m.
PostGIS & CartoDB|Stadium 4|11 a.m. - 11:50 a.m.
A picture of Earth through time: Storytelling with Google Earth Engine|Chesapeake|11 a.m. - 11:50 a.m.
Go! Go! In the hot seat with breaking news|Salon A|11 a.m. - 11:50 a.m.
Excel magic: Advanced functions in Excel|Stadium 1|11 a.m. - 11:50 a.m.
It's not just for looks: Presentation as a storytelling tool|Grand Ballroom East|11 a.m. - 11:50 a.m.
Examining prescribing patterns (Phil Meyer Award winner)|Salon BC|11 a.m. - 11:50 a.m.
Joining tables with SQL|Stadium 2|11 a.m. - 11:50 a.m.
Ruby 3: Simple web apps with Ruby|Stadium 5|11 a.m. - 11:50 a.m.
The fine art of negotiating for data|Grand Ballroom West|11 a.m. - 11:50 a.m.
Regular expressions|Salon A|2 p.m. - 2:50 p.m.
NewsCamp::Demystifying D3|Grand Ballroom East|2 p.m. - 2:50 p.m.
OpenElections year-in-review|Chesapeake|2 p.m. - 2:50 p.m.
Inside the global offshore money maze|Grand Ballroom West|2 p.m. - 2:50 p.m.
Mini Boot Camp - Saturday|See printed schedule for room information|2 p.m. - 4:50 p.m.
Advanced GitHubbing and Git Internals|Stadium 5|2 p.m. - 2:50 p.m.
Getting started with Python|Stadium 3|2 p.m. - 2:50 p.m.
"Mind the Gap" --- Holes in your data can lead you to stories|Salon DEF|2 p.m. - 2:50 p.m.
Unlocking secrets of Excel to cover economics and business|Stadium 4|2 p.m. - 2:50 p.m.
Inspecting the inspectors: Using inspection data to drive your stories|Salon BC|2 p.m. - 2:50 p.m.
Data deep dives (part 1)|Salon DEF|3 p.m. - 3:50 p.m.
Beyond the basics: Advanced SQL for analysis|Stadium 4|3 p.m. - 3:50 p.m.
It's not on the exam: Exploring data beyond standardized tests on the education beat|Salon BC|3 p.m. - 3:50 p.m.
CAR wash: Clean that dirty data|Salon A|3 p.m. - 3:50 p.m.
Python: Beyond the basics I|Stadium 3|3 p.m. - 3:50 p.m.
Open data: Practical tips and current issues|Grand Ballroom West|3 p.m. - 3:50 p.m.
You won't believe what static site generators can do for news apps|Chesapeake|3 p.m. - 3:50 p.m.
Crossing the language boundaries across your newsroom: journo to dev and back|Grand Ballroom East|3 p.m. - 3:50 p.m.
Getting data into Excel|Stadium 5|3 p.m. - 3:50 p.m.
When to scrape: Tools and techniques|Grand Ballroom West|4 p.m. - 4:50 p.m.
Digging online for global data|Grand Ballroom East|4 p.m. - 4:50 p.m.
Lyra: Custom visualization design without programming|Stadium 5|4 p.m. - 4:50 p.m.
Data deep dives (part 2)|Salon DEF|4 p.m. - 4:50 p.m.
Cross-platform collaboration for data projects|Salon BC|4 p.m. - 4:50 p.m.
The latest from Sunlight|Chesapeake|4 p.m. - 4:50 p.m.
Python: Beyond the basics II|Stadium 3|4 p.m. - 4:50 p.m.
Even more with R|Stadium 4|4 p.m. - 4:50 p.m.
Make dirty data shine with OpenRefine (repeat)|Salon A|4 p.m. - 4:50 p.m.
CAR Conference Sales (Sunday)|University Ballroom|8:30 a.m. - 10:30 a.m.
Advanced searching techniques|Salon DEF|9 a.m. - 9:50 a.m.
Tools for Social Network Analysis investigations|Salon BC|9 a.m. - 11:50 a.m.
Where do you want to go: Career roundtable|Grand Ballroom East|9 a.m. - 9:50 a.m.
Mini Boot Camp - Sunday|See printed schedule for room information|9 a.m. - 11:50 a.m.
Intro to Fusion Tables|Stadium 4|9 a.m. - 9:50 a.m.
How to deal with millions of documents without losing your mind (and time)|Chesapeake|9 a.m. - 9:50 a.m.
Installation party|Salon A|9 a.m. - 10:50 a.m.
Census I: Must-have data for every beat|Grand Ballroom West|9 a.m. - 9:50 a.m.
OpenElections hackathon|Chesapeake|10 a.m. - 6 p.m.
Build your bot army|Salon DEF|10 a.m. - 10:50 a.m.
Data cleaning in Excel|Stadium 4|10 a.m. - 10:50 a.m.
Census II: Going beyond the basics|Grand Ballroom West|10 a.m. - 10:50 a.m.
Web tools, tips and tricks for investigations|Grand Ballroom East|10 a.m. - 10:50 a.m.
Feel like you're hacking without really doing it|Salon DEF|11 a.m. - 11:50 a.m.
What's the deal with data science?|Grand Ballroom East|11 a.m. - 11:50 a.m.
Census III: Mapping and presentation|Grand Ballroom West|11 a.m. - 11:50 a.m.
A tour of IRE and NICAR (Make the most of your membership)|Stadium 4|11 a.m. - 11:50 a.m.
